Facility_ID,Reception_Room(s),Consultation_Room(s),Dressing_Room(s),Ward_Room(s),Injection_Room(s),Observation_Room(s),Remarks,Patient_Beds,Deliery_Beds,Baby_Cots,Ambulances,Cars,Motorcycles,Other_Transport,Sterilazation_and_Infection_Control,Means_of_Transport_to_Referral_Point,Distance_to_Referral_Point,Challanges/Remarks_to_Referral_Point,Other_Source_of_Energy,Other_Mobile_Networks,Other_Source_of_Water,Toilet_Remarks,Other_Waste_Management
111665-6,1,2,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105711-6,1,1,1,Not set,Not set,1,Not set,4,3,Not set,Not set,Not set,Not set,Not set,,Ambulance from Nansio hospital,8 Km,Not set,Not set,Not set,Not set,Not set,Not set
105678-7,1,3,1,2,Not set,1,Not set,8,2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105679-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105680-3,1,1,1,Not set,Not set,Not set,Not set,5,1,Not set,Not set,Not set,Not set,Not set,,Private,90km,Not set,Not set,Not set,Not set,Not set,Not set
105681-1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,AMBULANCE FROM BUKIRIRO H/C,15KM,Not set,Not set,Not set,Not set,Not set,Not set
105682-9,1,1,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,AMBULANCE FROM BUKIRIRO H/C,4KM,Not set,Not set,Not set,Not set,Not set,Not set
105237-2,1,1,1,Not set,Not set,Not set,Not set,1,2,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105683-7,1,1,1,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,mobile ambulace,30,Not set,Not set,Not set,Not set,Not set,Not set
105684-5,1,1,1,3,Not set,1,Not set,30,5,Not set,1,Not set,1,Not set,,General hosptal,45,Not set,Not set,HOTELL,Not set,Not set,Not set
105685-2,1,Not set,1,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Private car,76 km.,Corragated road,Not set,Not set,Not set,Not set,Not set
105687-8,Not set,Not set,1,Not set,Not set,Not set,kituo kifanyiwe ukarabati mkubwa,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,car/Ambulance from nearest facility.,2.5km,nill,Hurican lamp,halotel,Unprotected Dug well,poor condition,Not set
109570-2,1,1,1,Not set,Not set,1,some rooms serve more than one purpose,4,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from District Hospitalprivate transport,8Km,Not set,Not set,Not set,Not set,Not set,Not set
110826-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105689-4,1,1,1,Not set,Not set,1,NIL,1,1,Not set,Not set,1,1,PUBLIC,PUBLIC,ambulance from district,Not set,LACK OF TRANSPORT,Not set,NIL,NIL,Not set,NIL
105690-2,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from district,15km,Lough road,Not set,Not set,Not set,Not set,Not set
105691-0,1,1,1,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,No means of transport to the referal areaPrivate transport is the option used,23Klm,No even public transport near dispensarypatient with family are responsible for the means of referal,Not set,Not set,Not set,Not set,Not set
105692-8,1,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Hire cars,4Kms,Hiring car costs,Not set,Not set,Not set,Not set,Not set
105693-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105694-4,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from Rulenge Hosp,2km,Not set,Not set,Not set,Not set,Not set,Not set
105696-9,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,District Ambulance,Not set,Not set,Not set,Not set,Not set,Not set,Not set
108759-2,Not set,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,,District Ambulance,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105700-9,1,1,1,3,Not set,1,There is no pharmacy roomwards are not enough,48,2,Not set,1,Not set,1,bicycles,bicycles,Ambulace,54,wards are not enough,Not set,TTCL,Not set,Not set,Not set
105701-7,1,6,1,8,Not set,1,Not set,210,5,Not set,Not set,Not set,1,Not set,,HOSP. CAR,400KM,Long distance shortage of fund,Not set,Not set,Not set,Not set,Not set
109383-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105702-5,1,2,1,1,Not set,1,Not set,24,2,Not set,Not set,Not set,Not set,Not set,0,motocycles,45KM,Not set,Not set,ONLY THOSE,NO OTHER SOURCE,Not set,NO ANY
112377-7,1,3,1,2,Not set,2,Not set,25,4,2,Not set,Not set,Not set,Not set,,Public transport,15km,Raffroad,Not set,Not set,Not set,Not set,Not set
105703-3,1,1,1,3,Not set,Not set,Not set,16,4,1,1,Not set,Not set,Not set,,Ambulance,31 km,Not set,Not set,Not set,Not set,Not set,Not set
113790-0,1,1,1,1,1,1,Not set,2,2,Not set,Not set,Not set,Not set,motorcycle,motorcycle,public transport and nearby ambulance,20km,NO NATIONAL GRID,Not set,Not set,Not set,Not set,NONE
105704-1,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Private transport,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105705-8,1,3,1,3,Not set,1,None,30,2,Not set,1,Not set,1,None,None,ambulance available at the facility,Not set,Some patients fail to contribute fuel when ambulance has no enough fuel,None,Ugandan Networks,From River Kagera,Good,None
105706-6,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,1,Not set,,By using private transport,20.3 km,No public ambulance for refferal point,Not set,Not set,Not set,Not set,Not set
105707-4,1,1,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,1,Not set,,Ambulance from near h/center,18km,Not set,Not set,Not set,Not set,Not set,Not set
105708-2,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,District ambulance,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105709-0,Not set,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,public transport,50km,Not set,Not set,Not set,Not set,Not set,Not set
105710-8,1,1,1,3,Not set,Not set,Not set,19,3,Not set,1,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105712-4,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from Muriti H/C,46 Km,Not set,Not set,Not set,Not set,Not set,Not set
105713-2,1,1,1,Not set,Not set,Not set,Not set,4,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from Nansio hospital,16 Km,Not set,Not set,Not set,Not set,Not set,Not set
105714-0,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from near h/center,6km,Not set,Not set,Not set,Not set,Not set,Not set
105715-7,1,1,1,Not set,Not set,Not set,Facility need extension,1,1,Not set,Not set,Not set,Not set,Not set,,No means of transport to the referal areaPrivate transport is the option used,23Klm,Hard to reachno public transportno ambulance at facility,Not set,o reach especially during ra,Not set,Not set,Not set
105718-1,1,1,1,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from DMO Office,38 Km,Unreliable Transport,Not set,Not set,Not set,Not set,Not set
105720-7,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,1,1,Not set,Not set,,By using private transport,47.4,Not set,Not set,Not set,Not set,Not set,Not set
105721-5,3,8,7,24,Not set,9,Not set,380,11,3,2,7,4,Not set,,Ambulance,260km,Not set,Not set,TTCL,Not set,Not set,Not set
105722-3,1,3,Not set,1,Not set,1,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Private transport,250km,Not set,Not set,TTCL,Not set,Not set,Not set
104604-4,2,3,1,1,Not set,2,Good condition,4,Not set,Not set,Not set,Not set,Not set,Intitutional car,Intitutional car,Office cars,7km,No,Not set,Halotel,Not set,Good condition,Not set
105724-9,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,District Ambulance,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113040-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105725-6,1,Not set,1,Not set,Not set,1,Not set,5,1,Not set,Not set,Not set,1,Not set,Not set,Not set,15KM,Not set,Not set,Not set,Not set,Not set,Not set
111643-3,1,1,1,Not set,Not set,1,Not set,3,1,Not set,Not set,Not set,1,Not set,,AMBULANCE FROM CHATO HOSPITAL,77KM,DELAY DUE TO LONG DISTANCE,Not set,HALOTEL,Not set,Not set,SOLID WASTE STORAGE
105726-4,1,2,1,Not set,Not set,1,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,using torch,Not set,Not set,Not set,Not set
105729-8,Not set,1,1,Not set,Not set,Not set,Dressing and Injection room are in the same room.,2,1,Not set,Not set,Not set,Not set,Not set,,they use Mvumi DDHs ambulance,20 km,Not set,kerosine,Not set,Not set,Not set,Not set
105732-2,1,1,1,Not set,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from district hospital,25Km,Not set,Not set,Not set,Not set,Not set,Not set
110709-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105731-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105737-1,3,3,1,1,Not set,1,Not set,12,2,Not set,Not set,Not set,Not set,bicycle,bicycle,Ambulance from Hospital/private transport,3km,absence of Ambulance to the health facility,kerosene,Not set,Not set,Not set,Not set
105736-3,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Private car,54,No transport,Not set,Not set,Not set,Not set,Not set
105733-0,1,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Ambulance from district hospital,6Km,Not set,Not set,Not set,Not set,Not set,Not set
109903-5,1,2,1,2,Not set,1,Not set,15,1,Not set,Not set,Not set,Not set,public transport,public transport,ambulance,38km,limited number of ambulance,Not set,Not set,Not set,Not set,Not set
105738-9,Not set,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Publi buses,Publi buses,Public transport,15,No public transport direct to the refferal point,Not set,Not set,Not set,Not set,Not set
109152-9,1,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,public transport,50 km,Not set,Not set,halotel,Not set,Not set,Not set
105741-3,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105742-1,1,2,1,1,Not set,Not set,Not set,12,1,Not set,1,Not set,2,Bycycle,Bycycle,Own Ambulance,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105743-9,1,1,1,Not set,Not set,Not set,Not set,7,1,Not set,Not set,Not set,Not set,Not set,0,Self referral,18km,Not set,Not set,Not set,Not set,Not set,Not set
105744-7,Not set,1,1,Not set,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,AMBULANCE FROM BUKIRIRO H/C,5km,Not set,KEROSENE LAMP,Not set,Not set,Not set,Not set
105745-4,1,1,1,2,Not set,1,Not set,20,2,Not set,Not set,Not set,Not set,Not set,,District Ambulance,35,Rough Road,Not set,Not set,Not set,Not set,Not set
105746-2,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105747-0,1,2,1,Not set,Not set,Not set,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,District Ambulance and Tax,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112027-8,1,1,1,Not set,1,1,Not set,2,Not set,Not set,Not set,1,Not set,Not set,0,car,12 km,traffic jam,Not set,Not set,Not set,Not set,Not set
104846-1,1,1,1,Not set,1,2,Good,10,1,Not set,Not set,Not set,Not set,hakuna,hakuna,Self Refferal,15km,Traffic jam,Not set,Not set,Not set,Not set,Not set
105750-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105753-8,Not set,1,1,Not set,Not set,Not set,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Public tax or bodaboda,Not set,Not set,Kerosine lamp,Not set,River stream,Not set,Not set
110842-2,1,2,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Car Rental,4km,None,Not set,Not set,Not set,Not set,Not set
110702-8,1,2,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105759-5,1,2,1,Not set,Not set,Not set,Not set,1,2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105758-7,1,1,1,Not set,Not set,Not set,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Public Transport,Not set,Not set,Tanesco,Not set,Not set,Not set,Not set
105763-7,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Rusega Ambulance,23,Rough Road,Not set,Not set,Not set,Not set,Not set
105764-5,1,1,1,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,AMBULANCE,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105765-2,1,2,1,4,Not set,1,Not set,17,2,2,Not set,1,Not set,Not set,,Car,45 Kms,Not set,Kerosene lamp,Halotel,Not set,Not set,Not set
105766-0,Not set,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,District Ambulance,82,Rough Road,Not set,Not set,Not set,Not set,Not set
105767-8,1,3,1,2,Not set,1,Not set,10,2,1,Not set,Not set,3,Not set,,Public Transport,20km,Not set,Not set,Not set,Not set,Not set,Not set
112085-6,1,4,1,3,Not set,1,Not set,30,4,2,Not set,1,1,Not set,,Public,35km,No ambulance,Not set,Halotel,Not set,Not set,Not set
108748-5,1,1,Not set,Not set,Not set,Not set,Not set,1,2,Not set,Not set,Not set,Not set,Not set,,District Ambulance,68,Rough Road,Charcol Fuel,Not set,Not set,Not set,Not set
110410-8,1,1,1,Not set,Not set,1,Not set,4,1,Not set,Not set,Not set,1,Not set,,Not set,Not set,Not set,lamp,Not set,Not set,Not set,Not set
110397-7,1,1,1,Not set,Not set,1,Not set,4,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,lamp,Not set,Not set,Not set,Not set
105771-0,1,1,1,Not set,Not set,Not set,Dressing and injection services are in one room,3,1,Not set,Not set,Not set,1,Tricycle Ambulance,Tricycle Ambulance,Ambulance from Kitomanga HC or HQ,45km,Road is impassable during rainy seson,Gas and Kerosene,Not set,Not set,Not set,Not set
110562-6,1,2,1,Not set,1,2,Good,4,1,Not set,1,Not set,Not set,hakuna,hakuna,Ambulance from Chanika,55km,Not set,Not set,Not set,Bozer,Not set,Not set
111072-5,1,Not set,1,Not set,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,By road,35 KM,Impassable Roads during Rainy seaso n,Not set,Not set,Not set,Not set,Not set
105772-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105774-4,Not set,1,1,Not set,Not set,Not set,Dressing and Injection activities are conducted in the same room.,1,2,Not set,Not set,Not set,Not set,Not set,,they use Mvumi DDHs ambulance,5 km,Not set,Not set,Not set,Not set,Not set,Not set
105775-1,1,5,1,11,Not set,1,Not set,280,12,2,1,6,4,Not set,,They use Ambulance,Not set,Not set,Not set,TTCL,Not set,Not set,Not set
105776-9,Not set,1,1,Not set,Not set,Not set,Not set,3,1,Not set,Not set,Not set,Not set,Not set,,Private,10 KM,Rough road,Not set,Not set,Not set,Not set,Not set
105777-7,2,1,1,Not set,Not set,1,Not set,4,1,Not set,Not set,Not set,Not set,Not set,,public transport,80kms,Not set,Not set,Not set,Not set,Not set,Not set
105778-5,1,1,1,Not set,1,2,Good,7,1,Not set,1,Not set,Not set,Not set,,Ambulance,50km,Traffic jam,Not set,Not set,Not set,Not set,Not set
113416-2,1,1,1,Not set,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Private car,Private car,Ambulance,Not set,Not set,Not set,Halotel,Not set,Not set,Not set
105780-1,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110955-2,2,Not set,3,Not set,Not set,Not set,Not set,3,1,Not set,Not set,Not set,Not set,Not set,,By road,40 Km,Not set,Not set,Not set,Not set,Not set,Not set
105781-9,1,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,ambulance from District Hospital,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105782-7,Not set,1,Not set,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Private means,Private means,Private Cars/ambulance from District Hospital,18,Rough Road,Not set,halotel.,Not set,Not set,Not set
105785-0,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,ambulance from District Hospital,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105786-8,1,2,1,Not set,Not set,1,Standard,3,1,Not set,Not set,Not set,Not set,Not set,,Public transport and DMO's office ambulance,7,Poor transport infrastructure,Not set,Not set,Not set,Not set,Not set
105788-4,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105790-0,Not set,1,1,Not set,Not set,1,Not set,6,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105791-8,Not set,1,Not set,Not set,Not set,Not set,Inadquite rooms,5,2,Not set,Not set,Not set,Not set,Bicycles,Bicycles,By road,40Km,Not set,Not set,Not set,Not set,Not set,Not set
110031-2,1,1,1,1,Not set,1,Not set,3,3,Not set,Not set,Not set,1,Not set,,Ambulance,65,Not set,Not set,halotel,Not set,Not set,Not set
105793-4,Not set,1,Not set,Not set,Not set,1,yahitaji kuongezewa vyumba,3,1,Not set,Not set,Not set,Not set,PRIVATE MEANS,PRIVATE MEANS,PRIVATE MEANS,Not set,Not set,Hurrican lamp,HALOTEL,Shallow Well,Not set,Not set
105794-2,1,1,1,1,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Bicycle,Bicycle,AMBULANCE,30km,Poor infrastructure transport means from DC head quarterLong distance.,Not set,Not set,Not set,Not set,Not set
105795-9,Not set,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,0,Ambulance from Kabila health centre district hospital and private,25,Not set,Kerosine Gas for Vaccine,Not set,Open local dug well Simiyu River,Not set,Not set
105880-9,1,1,1,Not set,Not set,Not set,Not set,3,2,Not set,Not set,Not set,Not set,Not set,,By road,40 KM,Impasable road during rain seasion,Not set,Not set,Not set,Not set,Not set
113875-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105796-7,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,ambulance from Mwandoya H/c,Not set,road unpasseble during rain season,Not set,Not set,Not set,Not set,Not set
105798-3,1,1,Not set,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,rough road,Not set,Not set,Not set,Not set,Not set
105799-1,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,ambulance from Mwandoya H/c,Not set,rough road,Not set,Not set,Not set,Not set,Not set
105800-7,1,1,1,Not set,Not set,Not set,Not set,4,1,Not set,Not set,Not set,1,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105792-6,Not set,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from district hospital,45km,poor infrastructure,Kerosene lamp,Not set,Unprotected spring,Not set,Not set
105801-5,1,1,1,1,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105803-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105804-9,Not set,1,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105806-4,1,1,1,1,Not set,1,Not set,7,1,Not set,Not set,Not set,Not set,Not set,,AMBULANCE from the near health centre,7KM,Not set,Not set,HALOTEL,Not set,Not set,Not set
105805-6,1,6,1,4,Not set,6,Not set,54,1,1,2,2,Not set,Not set,,AMBULANCE,30 KM,Not set,Not set,Not set,Not set,Not set,Not set
105808-0,1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105809-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105810-6,2,2,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,1/2 Km,Not set,Not set,Not set,Not set,Not set,Not set
105811-4,1,1,Not set,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,BORE HOLE,Not set,Not set
109687-4,1,1,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,road,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105813-0,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105815-5,1,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,0,Not set,Not set,Not set,KEROSINE,Not set,BORE HOLE,Not set,Not set
105816-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,55km,Not set,Not set,Not set,Not set,Not set,Not set
108473-0,Not set,1,Not set,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105817-1,1,1,1,1,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Chemli,Not set,Well,Not set,Not set
112066-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105818-9,Not set,1,1,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,20 kms,Not set,Kandili,Not set,Not set,Not set,Not set
105819-7,Not set,1,Not set,Not set,Not set,1,Inadequate rooms,1,Not set,Not set,Not set,Not set,Not set,Not set,0,Ambulance from nearest health centre,70KM,Too far from health centre it's a challenge to circumstance of referal.,Not set,Not set,Not set,Enough,Not set
109671-8,1,1,1,1,Not set,1,Not set,2,2,1,Not set,Not set,Not set,Not set,,Ambulance from Mrijo Health Center,20Km,The road is difficulty to pass during rain season,Not set,Not set,Not set,Not set,Not set
105820-5,1,2,1,4,Not set,Not set,Not set,25,1,1,Not set,Not set,Not set,Not set,,usafiri wa Tax,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105822-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105823-9,Not set,1,1,Not set,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,PRIVATE MEANS,PRIVATE MEANS,Private Cars/ambulance from District Hospital,97km,Rough Road,Not set,Not set,Not set,Not set,Not set
105824-7,Not set,1,Not set,Not set,Not set,1,Not set,2,2,Not set,Not set,Not set,Not set,Private means,Private means,Private cars/Ambulance from Igunga HospitalPrivate cars,71km,Rough Road,Not set,halotel.,Not set,Not set,Not set
105825-4,1,3,1,3,Not set,1,Not set,56,2,Not set,1,Not set,Not set,Not set,,Ambulance,27km,Poor infrastructure,Not set,Not set,Not set,Not set,Not set
105826-2,1,1,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Ambulance from District Hospital or Public,23km,Lack of transport and poor infrastructure,Not set,Not set,Not set,Not set,Not set
111700-1,1,1,1,Not set,Not set,1,Not set,3,1,Not set,Not set,Not set,Not set,Not set,,Public transport,7Km,Poor infrastructures,Not set,Not set,Not set,Not set,Not set
109780-7,1,1,1,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,road,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105827-0,1,1,1,1,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,AMBULANCE - CAR,60KM,NOT PASSIBLE DURING RAIN SEASON,Not set,Not set,Not set,Not set,Not set
112134-2,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,District Ambulance,28km,Not set,Not set,Hallotel,Not set,Not set,Not set
105828-8,1,2,Not set,1,Not set,1,Not set,3,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from Hospital/private transport,23km,Insufficient means of Transport.,Not set,Not set,Not set,Not set,Not set
105829-6,1,1,1,1,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,City Council ambulance,8 KM,Not set,Not set,Not set,Not set,Not set,Not set
105830-4,1,1,1,Not set,Not set,1,Not enough room,2,1,Not set,Not set,Not set,Not set,No,No,public/Amnbulance from HC,57,Lack of transport,No,Not set,No,Good condition,No
105831-2,Not set,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,BY CAR,Not set,Not set,Not set,Not set,Not set,Not set,Not set
